Stock Item Record ID,Description,Discountable,UPC Code,Price,Cost,Taxable,Price Type,Register Data Status,Quantity on Hand,Inventory Method,Assigned Cost,Order Trigger,Recommended Order,Department,Category,Supplier,Supplier Code,Unit,Tax Group
23623225,Gait Mens Head Showtime Unstrung   White,TRUE,400000004181,25,14.15,TRUE,system,active,1,tracked,,0,0,general,general,Gait,,,
23880243,Harrow Womens Handle T-ix - Silver,TRUE,400000004198,20,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880244,Harrow Womens Handle T-ix - White,TRUE,400000004204,20,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880245,Maverik Mens Handle Defense 7 - Silver,TRUE,400000004211,40,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880246,Maverik Mens Handle Defense Boost - Gold,TRUE,400000004228,40,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880247,Maverik Mens Handle Defense Premium - Red,TRUE,400000004235,40,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880249,Reebok Mens Goalie Handle - White,TRUE,400000004242,20,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880250,Reebok Womens Handle 9K - Black,TRUE,400000004259,30,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880251,Reebok Womens Handle 9K - Gray ,TRUE,400000004266,30,14.15,TRUE,system,active,2,tracked,,0,0,general,Handle,not tracked,,,
23880252,Reebok Womens Handle 9K - Green,TRUE,400000004273,30,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880253,STX Mens Handle Attack Steel 7000 - Blue,TRUE,400000004280,40,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880254,STX Mens Handle Defense Sabre - Lt Blue,TRUE,400000004297,40,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880255,STX Mens Handle Defense Sabre - Red,TRUE,400000004303,40,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880256,STX Mens Handle Defense Sabre - Royal,TRUE,400000004310,40,14.15,TRUE,system,active,2,tracked,,0,0,general,Handle,not tracked,,,
23880257,STX Womens Handle Crank Shaft 10 Degree - Silver,TRUE,400000004327,20,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880258,STX Womens Handle Execute II - Silver,TRUE,400000004334,20,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880259,STX Womens Handle Flex 10 Degree - Silver,TRUE,400000004341,20,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880260,STX Womens Handle Lever 10 Degree - Black,TRUE,400000004358,20,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880261,STX Womens Handle Lever 10 Degree - Blue,TRUE,400000004365,20,14.15,TRUE,system,active,3,tracked,,0,0,general,Handle,not tracked,,,
23880262,STX Womens Handle Lever 10 Degree - Green,TRUE,400000004372,20,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880263,STX Womens Handle Slant 10 Degree - Blue,TRUE,400000004389,20,14.15,TRUE,system,active,2,tracked,,0,0,general,Handle,not tracked,,,
23880264,STX Womens Handle Slant 10 Degree - Orange,TRUE,400000004396,20,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880266,STX Womens Handle Slant 10 Degree - Purple,TRUE,400000004402,20,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880267,STX Womens Handle Swank 10 Degree - Blue,TRUE,400000004419,20,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880268,Under Armour Mens Handle Attack T22 Control - Blue,TRUE,400000004426,40,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
23880269,Under Armour Womens Handle Composite - Yellow,TRUE,400000004433,20,14.15,TRUE,system,active,1,tracked,,0,0,general,Handle,not tracked,,,
