Stock Item Record ID,Description,Discountable,UPC Code,Price,Cost,Taxable,Price Type,Register Data Status,Quantity on Hand,Inventory Method,Assigned Cost,Order Trigger,Recommended Order,Department,Category,Supplier,Supplier Code,Unit,Tax Group
,SJGE TEE HALL FAME WHT XL     ,TRUE,699170353308,9.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE HALL FAME WHT 2X     ,TRUE,699170353315,9.99,5.16,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE HALL FAME ORG SM     ,TRUE,699170353322,9.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE HALL FAME ORG MD     ,TRUE,699170353339,9.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE HALL FAME ORG LG     ,TRUE,699170353346,9.99,3.90,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE HALL FAME ORG XL     ,TRUE,699170353353,9.99,3.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE TEE HALL FAME ORG 2X     ,TRUE,699170353360,9.99,5.16,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY WHT SM      ,TRUE,699170353377,12.99,5.89,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY WHT MD      ,TRUE,699170353384,12.99,5.89,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY WHT LG      ,TRUE,699170353391,12.99,5.89,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY WHT XL      ,TRUE,699170353407,12.99,5.89,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY WHT 2X      ,TRUE,699170353414,12.99,7.49,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY GRY SM      ,TRUE,699170353421,12.99,5.89,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY GRY MD      ,TRUE,699170353438,12.99,5.89,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY GRY LG      ,TRUE,699170353445,12.99,5.89,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY GRY XL      ,TRUE,699170353452,12.99,5.89,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY GRY 2X      ,TRUE,699170353469,12.99,7.49,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY RED SM      ,TRUE,699170353476,12.99,5.89,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY RED MD      ,TRUE,699170353483,12.99,5.89,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY RED LG      ,TRUE,699170353490,12.99,5.89,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY RED XL      ,TRUE,699170353506,12.99,5.89,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY RED 2X      ,TRUE,699170353513,12.99,7.49,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY BLU SM      ,TRUE,699170353520,12.99,5.89,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
